sample_size,kernel,layers,dropout,batchnorm,alpha,val_loss
12,9,8,0.0,False,0.041666666666666664,7.527122306782985e-06
12,9,16,0.0,False,0.08333333333333333,3.0883034014550508e-06
12,9,32,0.0,False,0.16666666666666666,1.7526696183267632e-06
16,9,8,0.0,False,0.0625,4.335932771937223e-06
16,9,8,0.5,True,0.0625,8.891374818631446e-06
16,9,8,0.1,True,0.0625,4.529051693680231e-06
16,9,16,0.0,False,0.125,1.6324498801623122e-06
16,9,16,0.5,True,0.125,1.2671857803070452e-05
16,9,16,0.1,True,0.125,2.0778484213224147e-06
16,9,32,0.0,False,0.25,1.2709373322650208e-06
16,9,32,0.5,True,0.25,1.550839442643337e-05
16,9,32,0.1,True,0.25,1.6851990949362516e-06
24,9,8,0.0,False,0.08333333333333333,2.679078534129076e-06
24,9,8,0.5,True,0.08333333333333333,7.451302280969685e-06
24,9,8,0.1,True,0.08333333333333333,3.076878101637704e-06
24,9,16,0.0,False,0.16666666666666666,1.1865977285197005e-06
24,9,16,0.5,True,0.16666666666666666,7.180762622738257e-06
24,9,16,0.1,True,0.16666666666666666,1.600157702341676e-06
24,9,32,0.0,False,0.3333333333333333,5.081423296360299e-06
24,9,32,0.5,True,0.3333333333333333,7.677802386751862e-06
24,9,32,0.1,True,0.3333333333333333,1.535905767013901e-06
20,17,8,0.0,False,0.025,1.0463260878168512e-05
20,17,8,0.5,True,0.025,1.2079947737220207e-05
20,17,8,0.1,True,0.025,1.0429700523673093e-05
20,17,16,0.0,False,0.05,5.6804010455380185e-06
20,17,16,0.5,True,0.05,1.0504269994271452e-05
20,17,16,0.1,True,0.05,6.226788173080422e-06
20,17,32,0.0,False,0.1,2.89910462925036e-06
20,17,32,0.5,True,0.1,9.8930668173125e-06
20,17,32,0.1,True,0.1,4.058032118336996e-06
24,17,8,0.0,False,0.04166666666666666,6.207351361808833e-06
24,17,8,0.5,True,0.04166666666666666,8.398112186114304e-06
24,17,8,0.1,True,0.04166666666666666,6.63356786390068e-06
24,17,16,0.0,False,0.08333333333333333,2.548839347582544e-06
24,17,16,0.5,True,0.08333333333333333,7.352407919825055e-06
24,17,16,0.1,True,0.08333333333333333,2.8096715141145987e-06
24,17,32,0.0,False,0.16666666666666666,2.9279858608788345e-06
24,17,32,0.5,True,0.16666666666666666,9.27336441236548e-06
24,17,32,0.1,True,0.16666666666666666,2.249864110126509e-06
32,17,8,0.0,False,0.0625,3.668562840175582e-06
32,17,8,0.5,True,0.0625,7.428790922858752e-06
32,17,8,0.1,True,0.0625,3.921945335605416e-06
32,17,16,0.0,False,0.125,1.774220095285273e-06
32,17,16,0.5,True,0.125,7.317381005123026e-06
32,17,16,0.1,True,0.125,2.2818185243522753e-06
32,17,32,0.0,False,0.25,1.3897139069740659e-05
32,17,32,0.5,True,0.25,7.377623660431709e-06
20,5,8,0.0,False,0.1,2.016606458710157e-06
20,5,8,0.0,True,0.1,2.0058034806424985e-06
20,5,8,0.1,True,0.1,2.655507159943227e-06
20,5,16,0.0,False,0.2,8.731562957109419e-07
20,5,16,0.0,True,0.2,6.5899411083592e-07
20,5,16,0.1,True,0.2,1.6012428432077288e-06
20,5,32,0.0,False,0.4,1.4247691979107913e-05
20,5,32,0.0,True,0.4,5.923914727645752e-07
20,5,32,0.1,True,0.4,1.5415380403283052e-06
18,3,8,0.0,False,0.1111111111111111,1.6784020999693894e-06
18,3,8,0.0,True,0.1111111111111111,1.7907746041601058e-06
18,3,8,0.0,False,0.1111111111111111,1.697703169156739e-06
18,3,8,0.0,True,0.1111111111111111,1.7799135321183712e-06
